City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hermanus,ZA,2022-11-24 17:42:48,-34.4187,19.2345,60.8,56,88,10.27,overcast clouds
1,Mount Isa,AU,2022-11-24 17:42:48,-20.7333,139.5,74.97,38,40,4.61,scattered clouds
2,Hambantota,LK,2022-11-24 17:42:49,6.1241,81.1185,76.77,85,80,8.52,broken clouds
3,Carnarvon,AU,2022-11-24 17:42:49,-24.8667,113.6333,68.16,75,0,20.71,clear sky
4,Souris,CA,2022-11-24 17:42:50,49.6172,-100.2612,26.46,86,96,9.93,overcast clouds
5,Leningradskiy,RU,2022-11-24 17:42:50,69.3833,178.4167,6.13,95,100,7.83,light snow
6,Honiara,SB,2022-11-24 17:42:51,-9.4333,159.95,77.22,86,7,4.47,clear sky
7,Arraial Do Cabo,BR,2022-11-24 17:42:51,-22.9661,-42.0278,73.36,94,75,6.91,light rain
8,Shunyi,CN,2022-11-24 17:42:52,40.125,116.6453,42.75,100,100,2.24,mist
9,Castro,BR,2022-11-24 17:42:52,-24.7911,-50.0119,74.08,57,65,5.28,broken clouds
10,Vila,PT,2022-11-24 17:42:52,42.0304,-8.1588,47.28,95,98,4.88,overcast clouds
11,Yellowknife,CA,2022-11-24 17:42:53,62.456,-114.3525,21.72,100,100,11.5,light snow
12,Husavik,IS,2022-11-24 17:42:53,66.0449,-17.3389,40.01,96,100,20.49,overcast clouds
13,Barcelona,ES,2022-11-24 17:42:54,41.3888,2.159,63.84,68,20,10.36,few clouds
14,Busselton,AU,2022-11-24 17:42:54,-33.65,115.3333,57.09,84,32,1.99,scattered clouds
15,Hobart,AU,2022-11-24 17:42:54,-42.8794,147.3294,51.66,80,100,9.22,overcast clouds
16,Thompson,CA,2022-11-24 17:42:55,55.7435,-97.8558,24.96,80,75,11.5,broken clouds
17,Malinyi,TZ,2022-11-24 17:42:55,-8.9333,36.1333,80.19,52,87,2.28,overcast clouds
18,Yerbogachen,RU,2022-11-24 17:42:56,61.2767,108.0108,-21.93,100,74,4.07,broken clouds
19,Nanakuli,US,2022-11-24 17:42:56,21.3906,-158.1547,70.11,73,75,5.75,light rain
20,Lagoa,PT,2022-11-24 17:42:56,39.05,-27.9833,60.71,58,64,14.12,broken clouds
21,Victoria,HK,2022-11-24 17:40:52,22.2855,114.1577,72.18,92,100,11.01,overcast clouds
22,Leh,IN,2022-11-24 17:42:57,34.1667,77.5833,14.92,39,0,2.55,clear sky
23,Sola,VU,2022-11-24 17:42:57,-13.8833,167.55,81.63,71,60,7.83,broken clouds
24,Avarua,CK,2022-11-24 17:42:58,-21.2078,-159.775,75.25,78,75,6.91,broken clouds
25,Vaini,TO,2022-11-24 17:42:58,-21.2,-175.2,71.76,94,40,1.14,scattered clouds
26,Dalbandin,PK,2022-11-24 17:42:59,28.8947,64.4101,58.62,17,4,3.6,clear sky
27,Hilo,US,2022-11-24 17:42:59,19.7297,-155.09,71.11,87,0,6.91,clear sky
28,Saskylakh,RU,2022-11-24 17:43:00,71.9167,114.0833,-19.3,94,100,6.8,overcast clouds
29,Okhotsk,RU,2022-11-24 17:43:00,59.3833,143.3,-0.08,94,100,16.4,overcast clouds
30,Bombay,IN,2022-11-24 17:38:15,19.0144,72.8479,82.38,54,3,6.91,smoke
31,Kushiro,JP,2022-11-24 17:43:01,42.975,144.3747,37.47,83,84,5.37,broken clouds
32,Green Valley,US,2022-11-24 17:40:01,31.8543,-110.9937,58.44,27,0,3.0,clear sky
33,Rikitea,PF,2022-11-24 17:43:02,-23.1203,-134.9692,74.03,82,100,9.37,overcast clouds
34,Mataura,NZ,2022-11-24 17:43:02,-46.1927,168.8643,43.41,99,84,6.29,broken clouds
35,Luganville,VU,2022-11-24 17:43:03,-15.5333,167.1667,78.55,83,30,3.8,scattered clouds
36,Olafsvik,IS,2022-11-24 17:43:04,64.8945,-23.7142,42.12,86,100,26.35,overcast clouds
37,Mayumba,GA,2022-11-24 17:43:04,-3.432,10.6554,78.55,86,97,8.55,light rain
38,Pacific Grove,US,2022-11-24 17:43:05,36.6177,-121.9166,66.38,57,0,3.0,clear sky
39,Ushuaia,AR,2022-11-24 17:43:05,-54.8,-68.3,56.86,41,75,23.02,broken clouds
40,Beira,MZ,2022-11-24 17:43:06,-19.8436,34.8389,80.69,78,0,12.66,clear sky
41,Port Elizabeth,ZA,2022-11-24 17:43:07,-33.918,25.5701,66.09,73,20,20.71,few clouds
